B,num_digits,density,trial,x,y,x_support_size,y_support_size,raw_support_size,final_support_size,size_Sx,size_Sy,size_sumset,max_representation_count,additive_energy,support_density_x,support_density_y,diameter_x,diameter_y,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
2,8,1.0,15,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,16,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,17,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,18,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,19,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,16,0.2,0,45122,49152,5,2,9,6,5,2,9,2,12,0.3333333333333333,1.0,14,1,10,2,3.1219280948873624,0.2,4,4,31,2.0,0.4,4,4026531840,1.815522361597447
2,16,0.2,1,41034,33424,5,4,17,18,5,4,17,3,28,0.3333333333333333,0.3333333333333333,14,11,20,3,3.9841837197791894,0.15,2,2,23,1.0,0.1,1,8390656,0.0061177769591437125
2,16,0.2,2,55568,33344,6,3,14,11,6,3,14,2,26,0.5,0.3,11,9,18,2,3.7254805569978675,0.1111111111111111,7,7,25,2.8073549220576037,0.3888888888888889,5,58458112,0.03155021490157414
2,16,0.2,3,32768,39936,1,4,4,4,1,4,4,1,4,1.0,0.6666666666666666,0,5,4,1,2.0,0.25,0,0,-1,0.0,0.0,0,0,0.0
2,16,0.2,4,49220,36868,4,3,11,10,4,3,11,2,14,0.2857142857142857,0.21428571428571427,13,13,12,2,3.4182958340544896,0.16666666666666666,2,2,19,1.0,0.16666666666666666,2,786432,0.00043338112087900753
2,16,0.2,5,39028,57974,7,9,26,17,7,9,26,5,185,0.5,0.6,13,14,63,5,4.5423017013743925,0.07936507936507936,46,24,31,4.441508966691418,0.7301587301587301,17,4295097984,1.8982941673369047
2,16,0.2,6,36120,34432,6,4,17,8,6,4,17,3,40,0.46153846153846156,0.4444444444444444,12,8,24,3,3.970175521464345,0.125,16,13,27,3.625,0.6666666666666666,10,271958016,0.21867134335362917
2,16,0.2,7,34948,37602,4,7,20,14,4,7,20,3,46,0.2857142857142857,0.4666666666666667,13,14,28,3,4.208966082694623,0.10714285714285714,14,14,25,3.807354922057604,0.5,9,67036672,0.05101280139705553
2,16,0.2,8,37898,49186,5,4,17,16,5,4,17,2,26,0.3333333333333333,0.26666666666666666,14,14,20,2,4.021928094887363,0.1,4,4,19,2.0,0.2,4,983040,0.0005273675372796715
2,16,0.2,9,32768,47374,1,8,8,8,1,8,8,1,8,1.0,0.5333333333333333,0,14,8,1,3.0,0.125,0,0,-1,0.0,0.0,0,0,0.0
2,16,0.2,10,41490,49153,5,3,14,13,5,3,14,2,17,0.3333333333333333,0.1875,14,15,15,2,3.773557262275186,0.13333333333333333,2,2,17,1.0,0.13333333333333333,2,196608,9.640681179675385e-05
2,16,0.2,11,36864,33792,2,2,4,4,2,2,4,1,4,0.5,0.3333333333333333,3,5,4,1,2.0,0.25,0,0,-1,0.0,0.0,0,0,0.0
2,16,0.2,12,41544,36354,5,5,20,11,5,5,20,3,37,0.38461538461538464,0.3333333333333333,12,14,25,3,4.213660689688186,0.12,14,13,27,3.6644977792004614,0.56,13,301957120,0.19993312862994386
2,16,0.2,13,32772,32896,2,2,4,4,2,2,4,1,4,0.14285714285714285,0.2222222222222222,13,8,4,1,2.0,0.25,0,0,-1,0.0,0.0,0,0,0.0
2,16,0.2,14,33544,33281,4,3,10,10,4,3,10,2,16,0.3076923076923077,0.1875,12,15,12,2,3.2516291673878226,0.16666666666666666,2,2,25,1.0,0.16666666666666666,1,34078720,0.030526151672244192
2,16,0.2,15,32784,39172,2,5,10,10,2,5,10,1,10,0.16666666666666666,0.35714285714285715,11,13,10,1,3.3219280948873626,0.1,0,0,-1,0.0,0.0,0,0,0.0
2,16,0.2,16,33801,34853,4,5,17,18,4,5,17,3,28,0.25,0.3125,15,15,20,3,3.9841837197791894,0.15,2,2,16,1.0,0.1,1,65600,5.5684474309442766e-05
2,16,0.2,17,37379,53776,5,5,18,18,5,5,18,3,41,0.3125,0.4166666666666667,15,11,25,3,4.053660689688186,0.12,7,7,28,2.8073549220576037,0.28,4,306429952,0.15244565109457736
2,16,0.2,18,40962,33876,3,5,13,13,3,5,13,2,19,0.2,0.35714285714285715,14,13,15,2,3.640223928941852,0.13333333333333333,2,2,20,1.0,0.13333333333333333,1,1310720,0.0009445754391395153
2,16,0.2,19,32833,32768,3,1,3,3,3,1,3,1,3,0.1875,1.0,15,0,3,1,1.584962500721156,0.3333333333333333,0,0,-1,0.0,0.0,0,0,0.0
2,16,0.5,0,41319,60267,8,11,30,13,8,11,30,6,322,0.5,0.6875,15,15,88,6,4.727865749944739,0.06818181818181818,75,30,31,4.703781404563279,0.8522727272727273,30,4371205948,1.755383019453571
2,16,0.5,1,49777,60533,7,10,29,15,7,10,29,6,224,0.4375,0.625,15,15,70,6,4.636375967458997,0.08571428571428572,55,27,31,4.558010395067491,0.7857142857142857,27,4323316832,1.4348157890829147
2,16,0.5,2,42831,59646,10,11,30,12,10,11,30,7,500,0.625,0.7333333333333333,15,14,110,7,4.72156551074292,0.06363636363636363,98,29,31,4.694525502230255,0.8909090909090909,29,4639899336,1.8162223683670995
2,16,0.5,3,52990,56382,12,10,29,12,12,10,29,8,608,0.8,0.6666666666666666,14,14,120,8,4.677480289060886,0.06666666666666667,108,28,31,4.6469714484154245,0.9,28,5127855888,1.7163324540764908
2,16,0.5,4,44770,56872,9,8,25,16,9,8,25,6,270,0.6,0.6153846153846154,14,12,72,6,4.419740717159745,0.08333333333333333,56,21,31,4.218181378134551,0.7777777777777778,21,4988655616,1.9592864208063892
2,16,0.5,5,53314,48149,5,8,25,13,5,8,25,4,82,0.3333333333333333,0.5,14,15,40,4,4.465311532225103,0.1,27,19,31,4.162294909570876,0.675,19,4766720000,1.8569110583568496
2,16,0.5,6,48382,48439,12,11,29,11,12,11,29,9,730,0.8,0.6875,14,15,132,9,4.696518389727552,0.06818181818181818,121,29,31,4.670341544057117,0.9166666666666666,29,5678452520,2.4229866032686607
2,16,0.5,7,59093,41318,10,7,30,19,10,7,30,7,218,0.625,0.4666666666666667,15,14,70,7,4.687344488808574,0.1,51,26,31,4.549205488733372,0.7285714285714285,26,4344782272,1.7794782653450256
2,16,0.5,8,36598,38504,10,7,25,20,10,7,25,6,250,0.6666666666666666,0.5384615384615384,14,12,70,6,4.434580295757956,0.08571428571428572,50,21,28,4.185979129983103,0.7142857142857143,21,562652928,0.39927983902732966
2,16,0.5,9,55127,61937,11,10,30,20,11,10,30,8,510,0.6875,0.625,15,15,110,8,4.70813793456804,0.07272727272727272,90,27,31,4.581168592213908,0.8181818181818182,27,6560066912,1.9212936365474629
2,16,0.5,10,39730,48688,8,8,24,14,8,8,24,5,212,0.5333333333333333,0.6666666666666666,14,11,64,5,4.402518266288633,0.078125,50,20,29,4.178171939471839,0.78125,20,1684356096,0.8707498586209461
2,16,0.5,11,41071,57901,8,8,29,16,8,8,29,6,184,0.5,0.5,15,15,64,6,4.655639062229566,0.09375,48,24,31,4.438721875540867,0.75,21,3780223144,1.589630163721935
2,16,0.5,12,35446,63583,8,11,30,15,8,11,30,6,318,0.5333333333333333,0.6875,14,15,88,6,4.733142948202809,0.06818181818181818,73,29,31,4.701217839696477,0.8295454545454546,29,4372758424,1.9402032907081803
2,16,0.5,13,36663,52864,10,6,22,15,10,6,22,5,196,0.625,0.6666666666666666,15,8,60,5,4.311080496244278,0.08333333333333333,45,19,28,4.146756984930102,0.75,19,825158656,0.42574488573664765
2,16,0.5,14,46349,45490,8,8,28,16,8,8,28,5,178,0.5,0.5333333333333333,15,14,64,5,4.654078664259099,0.078125,48,25,29,4.547995052579128,0.75,25,1177485024,0.5584690205421083
2,16,0.5,15,57937,34522,7,8,27,21,7,8,27,4,148,0.4375,0.5333333333333333,15,14,56,4,4.561382823650152,0.07142857142857142,35,19,26,4.150292659616669,0.625,19,202557184,0.10127347191708029
2,16,0.5,16,62229,42308,9,6,25,16,9,6,25,4,140,0.5625,0.42857142857142855,15,13,54,4,4.4998053260372215,0.07407407407407407,38,23,31,4.41872290806656,0.7037037037037037,21,4429480576,1.6824318595624443
2,16,0.5,17,41295,57019,8,12,31,15,8,12,31,6,372,0.5,0.75,15,15,96,6,4.7636896893497465,0.0625,81,30,31,4.71846216476946,0.84375,30,4435423084,1.8837270993256623
2,16,0.5,18,57589,62538,9,8,28,16,9,8,28,5,232,0.5625,0.5333333333333333,15,14,72,5,4.623282689827156,0.06944444444444445,56,27,31,4.552628805870276,0.7777777777777778,26,6203206096,1.7223947179919086
2,16,0.5,19,50865,51802,8,8,28,14,8,8,28,5,190,0.5,0.5333333333333333,15,14,64,5,4.591578664259099,0.078125,50,23,31,4.4279764393853,0.78125,21,3631992192,1.378412903129286
